,date,diesel,e5,e10
0,2014/06/08,1.3589071721712704,1.5692824408834471,1.5294895446550678
1,2014/06/09,1.3849429659518575,1.5949745961218875,1.5551050157928132
2,2014/06/10,1.3727462257468923,1.5837888734468124,1.5439217762155757
3,2014/06/11,1.375437430338983,1.5872272347304128,1.5473054084930962
4,2014/06/12,1.3768163757018534,1.5902560941138808,1.5503720673552226
5,2014/06/13,1.3861009462355458,1.5994936049537027,1.559587461658756
6,2014/06/14,1.389269991265105,1.6033061700940503,1.5633148574606694
7,2014/06/15,1.3969114777262441,1.6112495465046364,1.5712978556836812
8,2014/06/16,1.3906696152329792,1.6052396652532472,1.5652673608747385
9,2014/06/17,1.3944504211846551,1.60823766330512,1.5682605155468394
10,2014/06/18,1.3935091443103835,1.6064465142836954,1.5664299389475926
11,2014/06/19,1.398180422702214,1.6113332877831161,1.5713468768032164
12,2014/06/20,1.3967691423447333,1.610913183054003,1.570959584490076
13,2014/06/21,1.3975391409199205,1.6119892419232695,1.5719922642071502
14,2014/06/22,1.4041890582218213,1.6175878548779603,1.5775866839604875
15,2014/06/23,1.3978545073944235,1.6130321831315142,1.5730846377203664
16,2014/06/24,1.3958892651542183,1.6122155174655899,1.5722918283883958
17,2014/06/25,1.3934752096125376,1.6109339539178718,1.570947435135723
18,2014/06/26,1.3952028501267555,1.6118997893263711,1.571938032553799
19,2014/06/27,1.3912903268145294,1.6088980574874383,1.5689010893818631
20,2014/06/28,1.3948680007884462,1.6120029574127432,1.5720531184280233
21,2014/06/29,1.3991945856256442,1.615922190201172,1.5759822198935398
22,2014/06/30,1.3916519756838646,1.6084529132961622,1.5685044562362134
0,2014/07/01,1.3924002302222949,1.6104526057578452,1.570496402779317
1,2014/07/02,1.3866428994279834,1.606104860882383,1.5662009471818763
2,2014/07/03,1.3823287261623411,1.6019937629937018,1.562031056698176
3,2014/07/04,1.3818889746452454,1.6024297944714974,1.562460395049447
4,2014/07/05,1.384086839417133,1.605011609547615,1.5649813937653625
5,2014/07/06,1.3868021684033276,1.608017055054899,1.5680104372011423
6,2014/07/07,1.3771758712212472,1.599916898947466,1.5599768207949605
7,2014/07/08,1.3769596992645143,1.6016658210116077,1.5617080112581023
8,2014/07/09,1.3754421070157763,1.6008741629426213,1.560938272237531
